sample_index,theta1,theta2,theta3,theta4,theta5,theta6,position_error_norm,rotation_error_norm,jacobian_error_norm
77,2.7653516120601895,-1.8165091554617334,2.3120688632301687,1.2386108564522096,2.0126227812604576,1.3834664464439281,3.7238012298709097e-16,1.527313441518086e-15,7.3049162318570025e-16
78,-2.1796782624956403,-1.2782828800379507,1.6161375629630639,-0.16015387720776753,0.3695743312130083,-1.148942924999517,3.6821932062951477e-16,1.3460738804684947e-15,6.364804213325832e-16
79,-1.3759316161562043,-1.8077680302218386,1.7116128547254,0.6881227916270953,1.9673502639966154,-0.27691378472130945,4.081579843510303e-16,1.0508931336535845e-15,7.809051178269964e-16
80,-0.5655447215420781,-2.0341658305878987,2.353224993636033,-1.1343463498331252,0.11178548625982747,-0.25622386134745834,4.47545209131181e-16,1.1457372517703787e-15,9.01360381742074e-16
81,-0.16037741444094422,-2.0134585426690514,2.2898317324884627,0.40778578267790966,2.176206761442151,0.46455823411179975,3.554447978966673e-16,1.2818749660365435e-15,6.940194824564331e-16
82,0.9450849504303958,-1.777843205257488,3.1497288879438154,0.3046951783180125,1.3373964050576594,0.39567919015491926,1.962615573354719e-16,1.2447532447274564e-15,2.4341205635660377e-16
83,-0.8639245264084234,-1.2668779640224286,2.946822753928881,2.3956978976869876,2.8552773116150942,0.011407385074931442,2.8196594744177104e-16,1.0814216617400168e-15,3.2935499500300394e-16
84,0.1257057113915283,-0.520336932014025,1.257802766976805,2.0917706465394255,1.5318391042040127,-1.2062098855872572,2.415941108079534e-16,1.3426356273935429e-15,5.574943533714295e-16
85,-2.6532332881477494,-0.4108176512973958,0.2222716676275116,-1.3602090959713333,1.0358031255547921,-1.0267974420983954,2.2887833992611187e-16,9.4623719602731e-16,3.7315636853024203e-16
86,-1.1538611072276668,-0.6689993265147773,0.058731374240283074,2.028475232028256,2.65529887308113,-0.4010986601785387,1.716587549445839e-16,1.2085633081569536e-15,2.3003407908052194e-16
87,-2.1476000258240644,-1.0378149393427898,0.47869022345957735,-0.8374999613148346,2.9711304607930145,1.5557584439126206,2.237726045655905e-16,1.2624973750368262e-15,6.312582217728903e-16
